Device_ID,Is_Jailbroken,Device_Threat_Rating
DEV-000001,False,Low
DEV-000002,False,Low
DEV-000003,False,Low
DEV-000004,False,Low
DEV-000005,False,Low
DEV-000006,False,Low
DEV-000007,False,Low
DEV-000008,False,Low
DEV-000009,False,Low
DEV-000010,False,Medium
DEV-000011,False,Low
DEV-000012,False,Low
DEV-000013,False,Low
DEV-000014,False,Low
DEV-000015,False,Low
DEV-000016,False,Low
DEV-000017,False,Low
DEV-000018,False,Low
DEV-000019,False,Low
DEV-000020,False,Medium
DEV-000021,False,Low
DEV-000022,False,Low
DEV-000023,False,Low
DEV-000024,False,Low
DEV-000025,False,Low
DEV-000026,False,Low
DEV-000027,False,Low
DEV-000028,False,Low
DEV-000029,True,High
DEV-000030,False,Low
DEV-000031,False,Low
DEV-000032,False,Medium
DEV-000033,False,Low
DEV-000034,False,Low
DEV-000035,False,Low
DEV-000036,False,Low
DEV-000037,False,Low
DEV-000038,False,Low
DEV-000039,False,Low
DEV-000040,False,Low
DEV-000041,False,Low
DEV-000042,False,Low
DEV-000043,False,Low
DEV-000044,False,Low
DEV-000045,False,Low
DEV-000046,False,Low
DEV-000047,False,Low
DEV-000048,False,Low
DEV-000049,False,Low
DEV-000050,False,Low
DEV-000051,False,Low
DEV-000052,False,Low
DEV-000053,False,Low
DEV-000054,False,Low
DEV-000055,False,Low
DEV-000056,False,Low
DEV-000057,False,Low
DEV-000058,False,Low
DEV-000059,False,Low
DEV-000060,False,Low
DEV-000061,False,Low
DEV-000062,False,Medium
DEV-000063,False,Low
DEV-000064,False,Low
DEV-000065,False,Low
DEV-000066,False,Low
DEV-000067,False,Low
DEV-000068,True,Medium
DEV-000069,False,Low
DEV-000070,False,Low
DEV-000071,False,Low
DEV-000072,False,Medium
DEV-000073,False,Low
DEV-000074,False,Low
DEV-000075,False,Low
DEV-000076,False,Low
DEV-000077,False,Low
DEV-000078,False,Low
DEV-000079,False,Low
DEV-000080,False,Low
DEV-000081,False,Low
DEV-000082,False,Low
DEV-000083,False,Low
DEV-000084,False,Medium
DEV-000085,False,Low
DEV-000086,False,Low
DEV-000087,False,Low
DEV-000088,False,Low
DEV-000089,False,Low
DEV-000090,False,Low
DEV-000091,False,Low
DEV-000092,False,Low
DEV-000093,False,Low
DEV-000094,False,Low
DEV-000095,True,Medium
DEV-000096,False,Low
DEV-000097,False,Low
DEV-000098,False,Low
DEV-000099,False,Medium
DEV-000100,False,Low
DEV-000101,False,Low
DEV-000102,False,Low
DEV-000103,False,Low
DEV-000104,False,Low
DEV-000105,False,Low
DEV-000106,False,Low
DEV-000107,False,Low
DEV-000108,False,Low
DEV-000109,False,Low
DEV-000110,False,Low
DEV-000111,False,Low
DEV-000112,False,Low
DEV-000113,False,Low
DEV-000114,False,Low
DEV-000115,False,Low
DEV-000116,False,Low
DEV-000117,False,Low
DEV-000118,False,Low
DEV-000119,False,Low
DEV-000120,False,Low
DEV-000121,False,Low
DEV-000122,False,Low
DEV-000123,False,Medium
DEV-000124,False,Low
DEV-000125,False,Medium
DEV-000126,False,Low
DEV-000127,False,Low
DEV-000128,False,Low
DEV-000129,False,Low
DEV-000130,False,Low
DEV-000131,False,Low
DEV-000132,False,Low
DEV-000133,False,Low
DEV-000134,False,Low
DEV-000135,False,Low
DEV-000136,False,Low
