Transaction_ID,Fraudulent,True_Archetype,True_Fraud_Probability,True_Contributing_Factors
T39170,0,none,0.0331,
T49522,0,none,0.0138,
T48960,0,none,0.0,
T1697,0,none,0.017,
T48429,0,none,0.0235,
T8942,0,stolen_funding_instrument,0.5492,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;new_high_risk_email
T19407,0,none,0.0,
T26807,0,none,0.0211,
T28465,0,none,0.0066,
T33073,0,stolen_funding_instrument,0.5063,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T47108,0,none,0.0,
T48237,0,none,0.0,
T32963,1,account_takeover,0.4774,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T42989,0,none,0.0498,
T34947,0,none,0.0,
T11846,0,none,0.0,
T40583,0,none,0.0255,
T49666,0,none,0.0,
T38090,0,none,0.0291,
T51183,0,none,0.0,
T13011,0,none,0.0,
T32024,0,none,0.0,
T52987,0,stolen_funding_instrument,0.6372,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity;shipping_billing_address_mismatch
T25110,0,none,0.0,
T1836,0,stolen_funding_instrument,0.4422,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;high_24h_velocity
T25849,0,none,0.0221,
T34131,0,none,0.0074,
T45941,0,none,0.0,
T7638,0,none,0.0,
T49870,0,none,0.0557,
T44786,0,none,0.0251,
T52536,0,none,0.0,
T45172,0,none,0.0275,
T14056,0,none,0.0,
T22885,0,none,0.0187,
T19010,0,none,0.0,
T17645,0,stolen_funding_instrument,0.4368,newly_linked_funding_instrument;high_risk_purchase_category;elevated_amount;high_decline_rate;shipping_billing_address_mismatch
T5187,0,none,0.0104,
T8417,0,none,0.0,
T50201,0,none,0.0548,
T19692,0,none,0.0,
T5549,0,none,0.05,
T31216,0,none,0.0,
T29031,0,none,0.0362,
T4593,0,none,0.0,
T24063,0,none,0.0,
T42281,0,none,0.0,
T30453,0,none,0.0478,
T8095,0,none,0.0251,
T51870,0,account_takeover,0.4395,unrecognized_device_id;ip_location_mismatch;high_amount;new_recipient
T23486,0,none,0.005,
T29939,0,none,0.0,
T40563,0,none,0.0,
T49097,0,none,0.0098,
T19031,0,none,0.0,
T46182,0,none,0.0062,
T37565,0,none,0.0,
T25611,0,none,0.0,
T48625,0,none,0.0558,
T41504,0,none,0.0455,
T1285,0,none,0.0,
T44615,0,none,0.0,
T24514,0,none,0.0546,
T24720,0,none,0.0253,
T19465,0,none,0.0,
T34507,0,none,0.0291,
T23778,0,none,0.0247,
T26635,0,none,0.0,
T30612,0,none,0.0163,
T50100,0,none,0.0124,
T44020,0,none,0.0382,
T30956,0,none,0.0447,
T24705,0,none,0.0278,
T25601,0,none,0.0178,
T21108,0,none,0.0,
T4332,1,none,0.0479,
T51191,0,none,0.0065,
T52253,0,none,0.0484,
