User_ID,Trusted_Device_IDs,Home_Location,Typical_Transaction_Amount,Account_Open_Days_Ago,Lifetime_Transactions_Before_Window
1,DEV-000001;DEV-000002,New York,13.32,1801,121
2,DEV-000003,Seattle,28.04,1169,25
3,DEV-000004;DEV-000005,Los Angeles,100.86,1681,107
4,DEV-000006,Chicago,60.49,866,64
5,DEV-000007;DEV-000008,Los Angeles,87.04,1072,56
6,DEV-000009;DEV-000010,San Francisco,19.27,424,28
7,DEV-000011;DEV-000012,Boston,19.58,1980,118
8,DEV-000013;DEV-000014;DEV-000015,San Francisco,197.81,620,16
9,DEV-000016,Austin,19.99,1993,86
10,DEV-000017,San Francisco,33.59,1809,95
11,DEV-000018,Austin,18.12,1691,45
12,DEV-000019,New York,40.77,1256,45
13,DEV-000020,Austin,149.62,928,34
14,DEV-000021,Austin,88.73,1300,28
15,DEV-000022,San Francisco,156.65,766,38
16,DEV-000023;DEV-000024,Los Angeles,27.03,370,13
17,DEV-000025,San Francisco,170.34,1387,89
18,DEV-000026;DEV-000027,Chicago,27.58,1608,84
19,DEV-000028;DEV-000029;DEV-000030,Austin,12.54,1200,47
20,DEV-000031,Los Angeles,90.09,880,55
21,DEV-000032;DEV-000033;DEV-000034,Boston,166.75,1849,136
22,DEV-000035,Boston,93.56,432,22
23,DEV-000036;DEV-000037;DEV-000038,Boston,12.24,505,16
24,DEV-000039,Seattle,40.74,798,22
25,DEV-000040;DEV-000041,Miami,92.47,577,15
26,DEV-000042;DEV-000043,Miami,42.24,740,18
27,DEV-000044,Austin,25.73,1880,124
28,DEV-000045;DEV-000046;DEV-000047,Austin,52.13,852,29
29,DEV-000048,Seattle,62.04,1143,67
30,DEV-000049,Austin,114.73,1919,59
31,DEV-000050,Austin,13.21,1091,47
32,DEV-000051,Houston,149.12,1601,86
33,DEV-000052,Miami,90.77,779,35
34,DEV-000053;DEV-000054,San Francisco,71.97,990,63
35,DEV-000055;DEV-000056,Seattle,82.0,1194,51
36,DEV-000057;DEV-000058,Los Angeles,115.75,1450,69
37,DEV-000059,Austin,209.39,444,21
38,DEV-000060;DEV-000061,Seattle,43.66,1251,80
39,DEV-000062,Houston,107.1,1285,54
40,DEV-000063,Chicago,82.57,1124,58
41,DEV-000064;DEV-000065;DEV-000066,San Francisco,64.99,96,6
42,DEV-000067,Los Angeles,79.56,1090,43
43,DEV-000068;DEV-000069,Los Angeles,43.62,1439,80
44,DEV-000070;DEV-000071,San Francisco,73.27,865,40
45,DEV-000072;DEV-000073,Austin,86.02,322,9
46,DEV-000074,Houston,88.92,810,58
47,DEV-000075;DEV-000076;DEV-000077,Austin,18.05,477,38
48,DEV-000078,Miami,208.76,1340,78
49,DEV-000079;DEV-000080;DEV-000081,Houston,142.83,1106,54
50,DEV-000082,Los Angeles,67.72,1704,73
51,DEV-000083,Seattle,165.52,580,46
52,DEV-000084;DEV-000085,Boston,213.24,1917,139
53,DEV-000086;DEV-000087,New York,13.98,78,2
54,DEV-000088;DEV-000089,Miami,82.58,705,53
55,DEV-000090;DEV-000091;DEV-000092,Houston,239.38,1360,35
56,DEV-000093;DEV-000094,Houston,93.06,612,42
57,DEV-000095,Chicago,22.25,314,19
58,DEV-000096,Chicago,117.03,1677,71
59,DEV-000097,San Francisco,92.25,653,18
60,DEV-000098;DEV-000099,Los Angeles,174.47,39,1
